dataset name,url
Startup - Multiple Linear Regression,/karthickveerakumar/startup-logistic-regression
hotel_rate(ChanKenny)V3,/ooorea/hotel-ratechankennyv3
Forbes Highest Paid Athletes 1990-2020,/parulpandey/forbes-highest-paid-athletes-19902019
Cars Data,/abineshkumark/carsdata
Female Employment vs Socioeconimic Factors,/mdmuhtasimbillah/female-employment-vs-socioeconimic-factors
Salary Data with Age and Experience,/codebreaker619/salary-data-with-age-and-experience
1.01. Simple linear regression.csv,/luddarell/101-simple-linear-regressioncsv
2019 Census US Population Data By State,/peretzcohen/2019-census-us-population-data-by-state
suv_data,/iamaniket/suv-data
Seed_from_UCI,/dongeorge/seed-from-uci
Mall customers,/kandij/mall-customers
Countries' VAT rate. 2020 data,/cityapiio/countries-vat-rate-2020-data
Classifying wine varieties,/brynja/wineuci
Happiness and Alcohol Consumption,/marcospessotto/happiness-and-alcohol-consumption
Latest Worldwide Covid-19 Vaccine Data,/anandhuh/latest-worldwide-vaccine-data
Korean Medicine Prescription Samples,/spynos/korean-medicine-prescription-samples
Mall_Customers,/akram24/mall-customers
Tic-Tac-Toe End game Dataset UCI,/aungpyaeap/tictactoe-endgame-dataset-uci
Titanic csv,/fossouodonald/titaniccsv
Football teams | Rankings | Stats,/varpit94/football-teams-rankings-stats
"Country Mapping - ISO, Continent, Region",/andradaolteanu/country-mapping-iso-continent-region
CardioGoodFitness,/saurav9786/cardiogoodfitness
Play tennis,/fredericobreno/play-tennis
Star Type Classification / NASA,/brsdincer/star-type-classification
Heart Disease Prediction,/rishidamarla/heart-disease-prediction
"Drugs A, B, C, X, Y for Decision Trees ",/pablomgomez21/drugs-a-b-c-x-y-for-decision-trees
headbrain,/jemishdonda/headbrain
Lung Cancer DataSet,/yusufdede/lung-cancer-dataset
Star dataset to predict star types,/deepu1109/star-dataset
Heart Disease Classification Dataset,/sumaiyatasmeem/heart-disease-classification-dataset
Housing Dataset,/ashydv/housing-dataset
Netflix subscribers and revenue by country,/pariaagharabi/netflix2020
Heart.csv,/zhaoyingzhu/heartcsv
Linear Regression Data-set,/tanuprabhu/linear-regression-dataset
Years of experience and Salary dataset ,/rohankayan/years-of-experience-and-salary-dataset
Air Passengers,/chirag19/air-passengers
Prostate Cancer,/sajidsaifi/prostate-cancer
Gender Classification,/hb20007/gender-classification
Customer Data,/shrutimechlearn/customer-data
mtcars,/ruiromanini/mtcars
CytoImageNet,/stanleyhua/cytoimagenet
Latest Covid-19 India Statewise Data,/anandhuh/latest-covid19-india-statewise-data
COVID-19 Statewise Vaccine Doses - India [Latest],/abhimaneukj/covid19-statewise-vaccine-doses-india-latest
Salary,/rsadiq/salary
Salaries in AI - survey,/konradb/salaries-in-ai-survey
Heights and weights,/tmcketterick/heights-and-weights
Average Salaries by Education in Saudi Arabia,/majedalhulayel/average-salaries-by-education-in-saudi-arabia
400+ crypto currency pairs at 1-minute resolution,/tencars/392-crypto-currency-pairs-at-minute-resolution
Asia Covid 19 Cases,/vivek468/asia-covid-19-cases-updated-10-oct-21
Environment Impact of Food Production,/selfvivek/environment-impact-of-food-production
Haberman's Survival Data Set,/gilsousa/habermans-survival-data-set
Logistic Regression,/dragonheir/logistic-regression
50 Startups,/farhanmd29/50-startups
Heart Attack Prediction,/imnikhilanand/heart-attack-prediction
GATE Examination,/nehaprabhavalkar/gate-examination
Tokyo 2020 Olympics Medals ,/berkayalan/2021-olympics-medals-in-tokyo
