dataset name,url
Play tennis,/fredericobreno/play-tennis
INTELLIGENT IRRIGATION SYSTEM,/harshilpatel355/autoirrigationdata
Iris Dataset,/vikrishnan/iris-dataset
Cars Data,/abineshkumark/carsdata
Titanic csv,/fossouodonald/titaniccsv
Pizza Price Prediction,/knightbearr/pizza-price-prediction
Latest Worldwide Covid-19 Vaccine Data,/anandhuh/latest-worldwide-vaccine-data
Singapore waste management,/kingabzpro/singapore-waste-management
Early Stage Diabetes Risk Prediction Dataset,/ishandutta/early-stage-diabetes-risk-prediction-dataset
Heart Disease Prediction,/rishidamarla/heart-disease-prediction
Time series analysis,/kandij/electric-production
Linear Regression Data-set,/tanuprabhu/linear-regression-dataset
Air Passengers,/chirag19/air-passengers
Early stage diabetes risk prediction dataset,/yasserhessein/early-stage-diabetes-risk-prediction-dataset
Heights and weights,/tmcketterick/heights-and-weights
US Unemployment Dataset (2010 - 2020),/aniruddhasshirahatti/us-unemployment-dataset-2010-2020
NFL Regular Season Standings 2018-2020,/rajsengo/nfl-regular-season-standings-20182020
Tokyo 2020 Olympics Medals ,/berkayalan/2021-olympics-medals-in-tokyo
Classifying wine varieties,/brynja/wineuci
Child Victims by Age,/tudoale1/child-victims-by-age
Salary,/rsadiq/salary
Coronavirus (covid19) Tweets,/smid80/coronavirus-covid19-tweets
Measuring innovation using Fortune 500 rankings,/intelai/measuring-innovation-using-fortune-500-rankings
mtcars,/ruiromanini/mtcars
USArrests,/halimedogan/usarrests
Logistic Regression,/dragonheir/logistic-regression
Mall customers,/kandij/mall-customers
Gender Classification,/hb20007/gender-classification
Star dataset to predict star types,/deepu1109/star-dataset
Heart Attack Prediction,/imnikhilanand/heart-attack-prediction
Environment Impact of Food Production,/selfvivek/environment-impact-of-food-production
Exercise Datasets: Heart Disease ,/just4jcgeorge/exercise-datasets
A Waiter's Tips,/jsphyg/tipping
Top 50 Spotify Tracks- 2020,/atillacolak/top-50-spotify-tracks-2020
Alcohol Consumption,/mysarahmadbhat/alcohol-consumption
Divorce Prediction,/andrewmvd/divorce-prediction
U.S. Unemployment Rate Data,/varpit94/us-unemployment-rate-data
Lung Cancer DataSet,/yusufdede/lung-cancer-dataset
Vegetable_market,/sudipsamanta35/vegetable-market
Shampoo Sales Dataset,/redwankarimsony/shampoo-saled-dataset
50 Startups,/farhanmd29/50-startups
Housing Dataset,/ashydv/housing-dataset
TPS Oct 2021 - Classic Feature Importance,/kavehshahhosseini/tpsoctclassicfeatureimportance
Boston Housing,/schirmerchad/bostonhoustingmlnd
Predicting the market value of soccer players,/jonascarette/predicting-the-market-value-of-soccer-players
Happiness and Alcohol Consumption,/marcospessotto/happiness-and-alcohol-consumption
Years of experience and Salary dataset ,/rohankayan/years-of-experience-and-salary-dataset
NLF Helmet Safety Camera Rotations,/coldfir3/nlf-helmet-safety-camera-rotations
How Does a Bike-Share Navigate Speedy Success?,/sergegeukjian/how-does-a-bikeshare-navigate-speedy-success
Mall_customer data,/ashleshaprix/mall-customer-data
Messi vs Ronaldo Stats,/komalkhetlani/messi-vs-ronaldo-stats
Haberman's Survival Data Set,/gilsousa/habermans-survival-data-set
Covid-19 state-wise India Vaccine data Analysis,/swatikhedekar/state-wise-india-covid19vaccination
"Country Mapping - ISO, Continent, Region",/andradaolteanu/country-mapping-iso-continent-region
Data visualisation for beginners,/gaganmaahi224/data-visualisation-for-beginners
Salary Data with Age and Experience,/codebreaker619/salary-data-with-age-and-experience
Netflix subscribers and revenue by country,/pariaagharabi/netflix2020
Heart.csv,/zhaoyingzhu/heartcsv
Prostate Cancer,/sajidsaifi/prostate-cancer
Salary data - Simple linear regression,/karthickveerakumar/salary-data-simple-linear-regression
Grocery Store Data Set,/shazadudwadia/supermarket
IGN's Best Game of All Time (2021),/heitornunes/igns-best-game-of-all-time-bracket
Fast Food Marketing Campaign A\B Test,/chebotinaa/fast-food-marketing-campaign-ab-test
Latest Covid-19 India Statewise Data,/anandhuh/latest-covid19-india-statewise-data
HRV OFFICE ENVIRONMENT,/gustavojota/hrv-office-environment
Multiple Broadband Inventories Personality Test,/yamqwe/analog-to-multiple-broadband-inventories
500 Person Gender-Height-Weight-Body Mass Index,/yersever/500-person-gender-height-weight-bodymassindex
400+ crypto currency pairs at 1-minute resolution,/tencars/392-crypto-currency-pairs-at-minute-resolution
Wine Dataset for Clustering,/harrywang/wine-dataset-for-clustering
Example Dataset for A/B Test,/ilkeryildiz/example-dataset-for-ab-test
Heart Disease Prediction using DifferentTechniques,/jillanisofttech/heart-disease-prediction-using-differenttechniques
US graduate school's admission parameters,/tanmoyie/us-graduate-schools-admission-parameters
Advertising Dataset,/ashydv/advertising-dataset
Average Salaries by Education in Saudi Arabia,/majedalhulayel/average-salaries-by-education-in-saudi-arabia
"Stock Market Data (NASDAQ, NYSE, S&P500)",/paultimothymooney/stock-market-data
headbrain,/jemishdonda/headbrain
jigsaw-multilingual-toxic-comment-classification,/julian3833/jigsaw-multilingual-toxic-comment-classification
CardioGoodFitness,/saurav9786/cardiogoodfitness
"Drugs A, B, C, X, Y for Decision Trees ",/pablomgomez21/drugs-a-b-c-x-y-for-decision-trees
